Object,Plot_Name,Unit_Code,Lat,Lng,PC1,PC2,PC3,PC4,PC5
371,PRWI-0669,PRWI,38.56590685,-77.36158118,Acadian Flycatcher,Red-eyed Vireo,Blue-gray Gnatcatcher,Northern Parula,Wood Thrush
372,PRWI-0689,PRWI,38.56330727,-77.37871008,Red-eyed Vireo,American Crow,Acadian Flycatcher,Eastern Wood-Pewee,Eastern Tufted Titmouse
373,PRWI-0691,PRWI,38.56342371,-77.37297591,Red-eyed Vireo,Acadian Flycatcher,Wood Thrush,Eastern Wood-Pewee,Blue Jay
374,PRWI-0695,PRWI,38.56365576,-77.36150747,Acadian Flycatcher,Red-eyed Vireo,Wood Thrush,Eastern Tufted Titmouse,American Robin
375,PRWI-0696,PRWI,38.5637136,-77.35864034,Red-eyed Vireo,Blue-gray Gnatcatcher,Eastern Wood-Pewee,American Robin,Wood Thrush
376,PRWI-0712,PRWI,38.56064648,-77.39870456,Red-eyed Vireo,Ovenbird,Acadian Flycatcher,American Crow,Eastern Wood-Pewee
377,PRWI-0721,PRWI,38.56140467,-77.36143376,Wood Thrush,Ovenbird,Red-eyed Vireo,Acadian Flycatcher,American Robin
378,PRWI-0722,PRWI,38.5614625,-77.35856672,Red-eyed Vireo,Wood Thrush,Acadian Flycatcher,Blue-gray Gnatcatcher,Eastern Wood-Pewee
379,PRWI-0728,PRWI,38.56180802,-77.3413643,Red-eyed Vireo,Acadian Flycatcher,Eastern Wood-Pewee,Ovenbird,Scarlet Tanager
380,PRWI-0738,PRWI,38.55845418,-77.39576285,Red-eyed Vireo,Acadian Flycatcher,Ovenbird,Wood Thrush,American Crow
381,PRWI-0741,PRWI,38.55897968,-77.36996087,Red-eyed Vireo,Ovenbird,Acadian Flycatcher,Eastern Wood-Pewee,Blue-gray Gnatcatcher
382,PRWI-0742,PRWI,38.55903771,-77.36709395,Ovenbird,Red-eyed Vireo,Eastern Wood-Pewee,Wood Thrush,Acadian Flycatcher
383,PRWI-0744,PRWI,38.55915358,-77.36136007,Wood Thrush,Red-eyed Vireo,Eastern Wood-Pewee,Ovenbird,Eastern Tufted Titmouse
384,PRWI-0750,PRWI,38.55949949,-77.34415823,Red-eyed Vireo,Eastern Wood-Pewee,Ovenbird,Wood Thrush,American Robin
385,PRWI-0751,PRWI,38.55955689,-77.34129123,Eastern Tufted Titmouse,Acadian Flycatcher,American Robin,Eastern Wood-Pewee,Ovenbird
386,PRWI-0759,PRWI,38.55608561,-77.4014216,Acadian Flycatcher,Red-eyed Vireo,Wood Thrush,Ovenbird,Eastern Wood-Pewee
387,PRWI-0779,PRWI,38.55488224,-77.34974555,Wood Thrush,Blue Jay,Indigo Bunting,Northern Cardinal,Ovenbird
388,PRWI-0783,PRWI,38.55122931,-77.41847099,Hooded Warbler,Red-eyed Vireo,Ovenbird,Blue-gray Gnatcatcher,Eastern Tufted Titmouse
389,PRWI-0789,PRWI,38.55158355,-77.40127175,Acadian Flycatcher,Wood Thrush,Red-eyed Vireo,Ovenbird,Northern Parula
390,PRWI-0796,PRWI,38.54927366,-77.40406331,Red-eyed Vireo,Acadian Flycatcher,Ovenbird,Wood Thrush,Blue-gray Gnatcatcher
391,PRWI-0798,PRWI,38.54939131,-77.39833036,Red-eyed Vireo,Wood Thrush,Acadian Flycatcher,Eastern Tufted Titmouse,Blue-gray Gnatcatcher
392,PRWI-0800,PRWI,38.54950868,-77.39259737,Red-eyed Vireo,Acadian Flycatcher,Eastern Wood-Pewee,Blue-gray Gnatcatcher,Eastern Tufted Titmouse
393,ROCR-0004,ROCR,38.98862539,-77.04365819,American Robin,Northern Cardinal,Gray Catbird,Song Sparrow,Red-bellied Woodpecker
394,ROCR-0010,ROCR,38.98402135,-77.0492979,American Robin,Acadian Flycatcher,Red-bellied Woodpecker,Wood Thrush,Red-eyed Vireo
395,ROCR-0027,ROCR,38.97731778,-77.04621879,Ovenbird,Northern Cardinal,Blue-gray Gnatcatcher,Red-eyed Vireo,Acadian Flycatcher
396,ROCR-0045,ROCR,38.97056355,-77.04602436,American Robin,Red-eyed Vireo,Acadian Flycatcher,Blue-gray Gnatcatcher,Eastern Tufted Titmouse
397,ROCR-0055,ROCR,38.96601011,-77.04877866,American Robin,Red-eyed Vireo,Acadian Flycatcher,Wood Thrush,Northern Cardinal
398,ROCR-0079,ROCR,38.95664829,-77.06870365,American Robin,Northern Cardinal,Song Sparrow,Gray Catbird,American Crow
399,ROCR-0092,ROCR,38.95475305,-77.04845436,Red-bellied Woodpecker,American Robin,Wood Thrush,Blue-gray Gnatcatcher,Northern Cardinal
400,ROCR-0094,ROCR,38.95485416,-77.0426875,American Robin,Acadian Flycatcher,Blue-gray Gnatcatcher,Common Grackle,Downy Woodpecker
401,ROCR-0111,ROCR,38.95035132,-77.04255819,American Robin,Wood Thrush,Northern Cardinal,Red-bellied Woodpecker,Carolina Wren
402,ROCR-0121,ROCR,38.94549344,-77.06261028,House Sparrow,Eastern Tufted Titmouse,American Robin,American Crow,Northern Cardinal
403,ROCR-0145,ROCR,38.93684276,-77.04217046,American Robin,Blue Jay,Wood Thrush,Eastern Tufted Titmouse,Eastern Wood-Pewee
404,ROCR-0172,ROCR,38.91806697,-77.08488284,Northern Cardinal,American Robin,Wood Thrush,Gray Catbird,Veery
405,ROCR-0180,ROCR,38.91622518,-77.06176243,Northern Cardinal,American Robin,Wood Thrush,Gray Catbird,Eastern Towhee
406,ROCR-0186,ROCR,38.91187476,-77.05298708,American Robin,Gray Catbird,American Crow,Northern Cardinal,Chimney Swift
407,WOTR-0001,WOTR,38.9416954,-77.26728609,American Robin,Eastern Tufted Titmouse,American Crow,Carolina Wren,Northern Cardinal
408,WOTR-0003,WOTR,38.93950028,-77.26433197,Eastern Tufted Titmouse,Carolina Wren,Northern Cardinal,American Robin,Blue Jay
409,WOTR-0004,WOTR,38.93955619,-77.26144957,Acadian Flycatcher,Eastern Tufted Titmouse,Northern Cardinal,White-breasted Nuthatch,Blue-gray Gnatcatcher
410,WOTR-0007,WOTR,38.93730508,-77.26137803,Eastern Tufted Titmouse,House Wren,Acadian Flycatcher,American Robin,Carolina Wren
411,WOTR-0008,WOTR,38.93499808,-77.26418872,Northern Cardinal,Eastern Tufted Titmouse,Carolina Chickadee,Carolina Wren,American Robin
412,WOTR-0009,WOTR,38.93505398,-77.2613065,Downy Woodpecker,Acadian Flycatcher,American Robin,Carolina Wren,Blue Jay
