OBJECTID_1,OBJECTID,ASSETNUM,DESCRIPTIO,INSERVICE,LOCATIONDE,ISNFPA,LASTSERVIC,BATTALION,ENGINEID,XCOOR,YCOOR,DCS_LAST_M,lat,lng
181,2124053,H00465,"HYDRANT, MUELLER-SUP CENT 250",Y,PENNSYLVANIA AVE INT 10TH ST NW SEC,Y,2012-05-17T00:00:00.000Z,6,E-2,397791,136249,2012-06-06T06:00:31.000Z,38.89409272,-77.02545592
182,2118538,H08596,"HYDRANT, MUELLER-SUP CENT 250",Y,PENNSYLVANIA AVE INT 10TH ST NW SWC,Y,2012-05-07T00:00:00.000Z,6,E-2,397712,136281,2012-06-06T06:00:31.000Z,38.89437775,-77.02636846
183,2120374,H09480,"HYDRANT, MUELLER-SUP CENT 250",Y,PENNSYLVANIA AVE INT 10TH ST NW NWC,Y,2012-05-07T00:00:00.000Z,6,E-2,397717,136315,2012-06-06T06:00:31.000Z,38.89467996,-77.02631003
184,2118539,H08597,"NPS - HYDRANT, KENNEDY-K81-A/D GUAR",Y,PENNSYLVANIA AVE BET 11TH ST AND 12TH ST NW SOUTHSIDE,Y,2012-05-07T00:00:00.000Z,6,E-2,397602,136320,2012-06-06T06:00:31.000Z,38.89472856,-77.02763774
185,2120958,H09694,"HYDRANT, US PIPE-MET 250 M94",Y,ROCK CREEK & POTOMAC PKWY BET INTERSTATE 66 I AND F ST NW EASTSIDE - SOUTH END OF THE KENNEDY CENTER,N,2011-11-17T00:00:00.000Z,6,E-23,395112,136323,2012-06-06T06:00:31.000Z,38.89474529,-77.05633658
186,2118345,H08389,"HYDRANT, KENNEDY-K81-A/D GUAR",Y,12TH ST INT PENNSYLVANIA AVE NW SWC,Y,2012-05-10T00:00:00.000Z,6,E-16,397548,136330,2012-06-06T06:00:31.000Z,38.89481599,-77.02825525
187,2118003,H08019,"HYDRANT, MUELLER-SUP CENT 250",Y,11TH ST INT PENNSYLVANIA AVE NW NEC,Y,2012-05-17T00:00:00.000Z,6,E-2,397666,136348,2012-06-06T06:00:31.000Z,38.89498285,-77.02689918
188,2121575,H03161,"HYDRANT, KENNEDY-K81-A/D GUAR",Y,PENNSYLVANIA AVE BET 11TH ST AND 12TH ST NW NORTHSIDE,Y,2012-05-17T00:00:00.000Z,6,E-2,397607,136354,2012-06-06T06:00:31.000Z,38.89503854,-77.02757936
189,2118536,H08594,"HYDRANT, MUELLER-SUP CENT 250",Y,PENNSYLVANIA AVE BET 12TH ST AND 13TH ST NW SOUTHSIDE,Y,2012-05-17T00:00:00.000Z,6,E-16,397464,136369,2012-06-06T06:00:31.000Z,38.8951656,-77.02923303
190,2118537,H08595,"HYDRANT, KENNEDY-K81-A/D GUAR",Y,12TH ST INT PENNSYLVANIA AVE NW NWC,Y,2012-05-10T00:00:00.000Z,6,E-16,397555,136381,2012-06-06T06:00:31.000Z,38.89528161,-77.02817722
